id;isHead;sHeadDate;sGHeadDate;sTotal;sTarget;isTarget;isNotOnlyTarget;cDaysBetween;isSameDay;isLater;isEarlier;cBus;cEmpl;cCust;isSameOrNever;isLaterOrNever;sGS;sG;sT;sS;isRep;isBF;cSMen;cAMen;dFirstSale;cWorkMonth;cSaleMonth;isServer;isBUCorp;is50lic;isEGG;isBuh;isZUP;isKPR;isUT;isBS;isAnyBuh;isBTOR;isService;isLicense;isPOS
613507;1;1650;1650;1650;0;0;0;0;0;0;0;1;3;1;1;1;1650;1650;0;0;0;0;1;1;42471;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613591;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42471;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613513;1;13000;13000;17944;0;0;0;0;0;0;0;2;10;1;1;1;13000;13000;0;0;0;0;1;1;42471;4;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613611;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
893651;1;74880;74880;77352;0;0;0;0;0;0;0;2;10;1;1;1;74880;74880;0;0;0;0;2;1;42472;6;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613613;1;1650;1650;1650;0;0;0;0;0;0;0;1;0;1;1;1;1650;1650;0;0;0;0;1;0;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613524;1;3300;3300;3300;0;0;0;0;0;0;0;1;2;1;1;1;3300;3300;0;0;0;0;1;0;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613568;1;1650;1650;1650;2300;1;1;8;0;1;0;1;0;1;0;1;1650;1650;0;0;0;0;1;1;42472;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
613483;1;62000;62000;62000;0;0;0;0;0;0;0;1;20;1;1;1;62000;62000;0;0;0;0;1;1;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613619;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613621;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
894949;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;2;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613624;1;26000;26000;26000;0;0;0;0;0;0;0;1;3;1;1;1;26000;26000;0;0;0;0;1;2;42473;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613620;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
998010;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;1;42500;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613639;1;3300;3300;3300;0;0;0;0;0;0;0;1;0;1;1;1;3300;3300;0;0;0;0;1;1;42473;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
931917;1;1650;1650;8950;0;0;0;0;0;0;0;1;3;1;1;1;8950;8950;0;0;0;0;1;1;42433;4;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0
986927;1;11690;3300;16670;0;0;0;0;0;0;0;3;3;1;1;1;8280;3300;0;4980;1;0;1;1;42453;7;3;0;0;0;0;1;0;0;0;0;1;0;1;0;0
613510;1;13000;13000;22888;0;0;0;0;0;0;0;2;4;1;1;1;13000;13000;0;0;0;0;1;3;42473;6;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613605;1;1650;1650;1650;0;0;0;0;0;0;0;1;7;1;1;1;1650;1650;0;0;0;0;1;1;42473;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613598;1;3300;3300;3300;4600;1;1;0;1;0;0;1;2;1;1;0;3300;3300;0;0;0;0;1;1;42473;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
613642;1;3300;3300;9200;0;0;0;0;0;0;0;2;9;1;1;1;3300;3300;0;0;0;0;2;2;42473;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613654;1;1650;1650;1650;0;0;0;0;0;0;0;1;0;1;1;1;1650;1650;0;0;0;0;1;1;42473;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613569;1;13000;13000;13000;0;0;0;0;0;0;0;1;7;1;1;1;13000;13000;0;0;0;0;2;0;42473;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
396771;1;3300;3300;3300;0;0;0;0;0;0;0;1;3;1;1;1;3300;3300;0;0;0;0;1;1;42474;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613670;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42474;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
986902;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42474;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
824616;1;1650;1650;1650;0;0;0;0;0;0;0;1;3;1;1;1;1650;1650;0;0;0;0;1;1;42474;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613653;1;3300;3300;3300;0;0;0;0;0;0;0;1;3;1;1;1;3300;3300;0;0;0;0;1;0;42474;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613659;1;8000;8000;38354;0;0;0;0;0;0;0;2;5;1;1;1;33000;33000;0;0;0;0;2;1;42475;6;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613644;1;3300;3300;3300;0;0;0;0;0;0;0;1;0;1;1;1;3300;3300;0;0;0;0;1;0;42478;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613671;1;13000;13000;41344;17400;1;1;0;1;0;0;3;5;1;1;0;34900;13000;0;21900;0;0;1;2;42478;6;5;0;0;0;0;1;1;0;0;0;1;0;1;0;0
613693;1;3300;3300;3300;0;0;0;0;0;0;0;1;3;1;1;1;3300;3300;0;0;0;0;1;2;42478;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
